名称,大类,中类,小类,地址,省,市,区,WGS84_经度,WGS84_纬度
金霞山庄,商务住宅,住宅区,住宅区,彭白路附近,四川省,成都市,彭州市,103.8782427,31.32777755
龙门山静园,商务住宅,商务住宅相关,商务住宅相关,彭白路附近,四川省,成都市,彭州市,103.8781866,31.32945092
九峰林居,商务住宅,商务住宅相关,商务住宅相关,彭白路,四川省,成都市,彭州市,103.8740861,31.32316926
核桃大院,商务住宅,商务住宅相关,商务住宅相关,龙门山镇九峰村12组,四川省,成都市,彭州市,103.8668622,31.31311771
如意家园,商务住宅,住宅区,住宅小区,九峰村9组35号(银白公路旁),四川省,成都市,彭州市,103.8580433,31.29931078
如意家苑(彭白路),商务住宅,住宅区,住宅小区,彭白路北50米,四川省,成都市,彭州市,103.8580463,31.29930979
林峰居,商务住宅,商务住宅相关,商务住宅相关,宝山村龙门山风景旅游区九峰山风景名胜区内,四川省,成都市,彭州市,103.8582224,31.30391531
九峰花园(彭白路),商务住宅,住宅区,住宅小区,彭白路九峰超市西南侧20米,四川省,成都市,彭州市,103.8632198,31.30284979
仁和苑,商务住宅,住宅区,住宅小区,宝山村龙门山风景旅游区九峰山风景名胜区内,四川省,成都市,彭州市,103.8602385,31.30365334
锒杏苑,商务住宅,住宅区,住宅小区,彭白路东50米,四川省,成都市,彭州市,103.8623606,31.30165707
光辉苑,商务住宅,住宅区,住宅小区,彭白路西100米,四川省,成都市,彭州市,103.8453891,31.29128138
九峰漢都,商务住宅,商务住宅相关,商务住宅相关,,四川省,成都市,彭州市,103.8509118,31.2936368
梨苑山庄,商务住宅,住宅区,住宅区,九峰村8组,四川省,成都市,彭州市,103.8492811,31.29201572
东林佳苑,商务住宅,住宅区,住宅小区,彭白路北50米,四川省,成都市,彭州市,103.8210387,31.28345259
风林苑,商务住宅,商务住宅相关,商务住宅相关,彭白路东100米,四川省,成都市,彭州市,103.8205211,31.27340166
聚友苑,商务住宅,商务住宅相关,商务住宅相关,龙门山镇团山村4组2号,四川省,成都市,彭州市,103.8084755,31.25809399
和谐家苑,商务住宅,住宅区,住宅区,团山村连盖坪六社11号,四川省,成都市,彭州市,103.7930664,31.2537786
温泉邻居,商务住宅,商务住宅相关,商务住宅相关,龙门山镇风景区内,四川省,成都市,彭州市,103.7944006,31.24989427
金桂园,商务住宅,商务住宅相关,商务住宅相关,团山村(连盖坪),四川省,成都市,彭州市,103.7924245,31.25378166
三沟幸福苑小区,商务住宅,住宅区,住宅小区,三沟村彭白路三沟幸福苑小区,四川省,成都市,彭州市,103.8042982,31.25144857
云静苑,商务住宅,商务住宅相关,商务住宅相关,彭白路东50米,四川省,成都市,彭州市,103.7987666,31.25111555
阳光苑,商务住宅,住宅区,住宅小区,宝山村七组12号,四川省,成都市,彭州市,103.7823416,31.23719338
阳光家园,商务住宅,住宅区,住宅小区,彭白路,四川省,成都市,彭州市,103.7861083,31.2369772
紫藤家园,商务住宅,商务住宅相关,商务住宅相关,宝山一路东100米,四川省,成都市,彭州市,103.7835069,31.23837328
明静家园,商务住宅,商务住宅相关,商务住宅相关,宝山一路东100米,四川省,成都市,彭州市,103.7835069,31.23837328
银河谷,商务住宅,住宅区,住宅小区,宝山三路西50米,四川省,成都市,彭州市,103.7874046,31.24561812
成都彭州清馨园,商务住宅,商务住宅相关,商务住宅相关,彭州龙门山镇宝山村14组,四川省,成都市,彭州市,103.783561,31.23724784
馨苑,商务住宅,住宅区,住宅小区,宝山村5组,四川省,成都市,彭州市,103.7847205,31.23726828
厚福山寨小区,商务住宅,住宅区,住宅小区,,四川省,成都市,彭州市,103.7955367,31.24460829
翠林苑,商务住宅,住宅区,住宅区,,四川省,成都市,彭州市,103.7965653,31.24560944
嘟嘟苑,商务住宅,商务住宅相关,商务住宅相关,团山村二组(连盖坪),四川省,成都市,彭州市,103.7952281,31.24525653
香榭里二期玲珑郡,商务住宅,住宅区,住宅区,龙门山地质公园(白鹿镇法式风情镇中心区内),四川省,成都市,彭州市,103.8847158,31.24202826
开心苑,商务住宅,住宅区,住宅区,宝山村10组,四川省,成都市,彭州市,103.7765445,31.23218417
映华苑,商务住宅,住宅区,住宅区,宝山村8组,四川省,成都市,彭州市,103.7802813,31.23465211
成都彭州东朋香樟苑,商务住宅,商务住宅相关,商务住宅相关,宝山村5组,四川省,成都市,彭州市,103.7795906,31.23482925
彭州市宝山村山府家园,商务住宅,住宅区,住宅区,宝山一路东50米,四川省,成都市,彭州市,103.784268,31.23644408
水墨江山,商务住宅,住宅区,住宅小区,龙门山镇国坪村村委会附近,四川省,成都市,彭州市,103.7753999,31.22196764
黄家大院,商务住宅,住宅区,住宅区,彭白路东50米,四川省,成都市,彭州市,103.769404,31.22086783
杰鸿家园,商务住宅,住宅区,住宅小区,彭白路东150米,四川省,成都市,彭州市,103.7706639,31.22174544
林兴苑,商务住宅,商务住宅相关,商务住宅相关,彭白路东150米,四川省,成都市,彭州市,103.7701566,31.22041164
醉涛小筑,商务住宅,商务住宅相关,商务住宅相关,彭白路118号,四川省,成都市,彭州市,103.7652689,31.21163314
兰斯香榭,商务住宅,住宅区,住宅区,白鹿中法风情小镇,四川省,成都市,彭州市,103.9141342,31.20865244
郭家湾安置小区,商务住宅,商务住宅相关,商务住宅相关,,四川省,成都市,彭州市,103.9160861,31.21467928
鹿峰山庄,商务住宅,住宅区,住宅区,白鹿镇白鹿场社区9组,四川省,成都市,彭州市,103.9184857,31.20984962
花溪别苑,商务住宅,商务住宅相关,商务住宅相关,黄花公路东200米,四川省,成都市,彭州市,103.8126951,31.19706606
香山园,商务住宅,商务住宅相关,商务住宅相关,白鹿镇小夫路1号,四川省,成都市,彭州市,103.9069869,31.19983108
中法风情小镇,商务住宅,住宅区,住宅小区,小夫路附近,四川省,成都市,彭州市,103.912221,31.20616476
鱼虹小区,商务住宅,住宅区,住宅小区,罗中路与026乡道交叉口西100米,四川省,成都市,彭州市,103.7536715,31.19325887
福兴山庄,商务住宅,住宅区,住宅小区,爱民路与026乡道交叉口北50米,四川省,成都市,彭州市,103.7543475,31.19468134
兴旺苑小区,商务住宅,住宅区,住宅小区,彭白路与爱民路交叉口东北150米,四川省,成都市,彭州市,103.7582,31.19502237
华润二十四城二期guoguo(巴氏鲜奶店),商务住宅,商务住宅相关,商务住宅相关,,四川省,成都市,都江堰市,103.6127236,31.17877343
百香园小区,商务住宅,住宅区,住宅小区,彭白路与026乡道交叉口东100米,四川省,成都市,彭州市,103.7586807,31.18271351
花溪谷,商务住宅,商务住宅相关,商务住宅相关,黄花公路东50米,四川省,成都市,彭州市,103.8110457,31.17901282
雁东苑,商务住宅,住宅区,住宅区,白鹿镇白鹿村4组,四川省,成都市,彭州市,103.9066749,31.17938407
雁江绿苑,商务住宅,商务住宅相关,商务住宅相关,万白路白鹿镇白鹿村二组16号,四川省,成都市,彭州市,103.9071297,31.17944489
阳光园小区,商务住宅,商务住宅相关,商务住宅相关,,四川省,成都市,彭州市,103.994896,31.17927609
景山苑小区,商务住宅,住宅区,住宅小区,鼓浪屿路西100米,四川省,成都市,彭州市,103.819241,31.16983341
枫凌苑,商务住宅,商务住宅相关,商务住宅相关,小夫路西50米,四川省,成都市,彭州市,103.895179,31.17017029
三星苑,商务住宅,商务住宅相关,商务住宅相关,梨八路附近,四川省,成都市,彭州市,103.9721342,31.17303525
龙家木小区,商务住宅,住宅区,住宅小区,龙家木小区(湔红路西230米),四川省,成都市,彭州市,103.9963958,31.17006208
八角苑,商务住宅,住宅区,住宅小区,红岩镇梨花村,四川省,成都市,彭州市,103.9929756,31.16819443
桥楼苑,商务住宅,住宅区,住宅区,彭白路西50米,四川省,成都市,彭州市,103.8148727,31.16415816
富贵苑,商务住宅,住宅区,住宅小区,三明路与南平中路交叉口东南200米,四川省,成都市,彭州市,103.8242702,31.16496428
通济廉租房,商务住宅,住宅区,住宅小区,鼓浪屿路64号,四川省,成都市,彭州市,103.8317242,31.16383885
通济场社区,商务住宅,住宅区,住宅小区,景山路,四川省,成都市,彭州市,103.8310679,31.16220345
滨江街,商务住宅,住宅区,住宅区,滨江街50号附近,四川省,成都市,彭州市,103.8312454,31.15881649
崇德苑,商务住宅,住宅区,住宅区,崇德路西50米,四川省,成都市,彭州市,103.8337691,31.16581367
思文场小区,商务住宅,住宅区,住宅小区,思文街附近,四川省,成都市,彭州市,103.8602385,31.1599733
盛世花源,商务住宅,商务住宅相关,商务住宅相关,蒲沟路西50米,四川省,成都市,彭州市,103.9470634,31.15707552
